Airport__Name,Aircraft__Make_Model,Effect__Amount_of_damage,Flight_Date,Aircraft__Airline_Operator,Origin_State,When__Phase_of_flight,Wildlife__Size,Wildlife__Species,When__Time_of_day,Cost__Other,Cost__Repair,Cost__Total_$,Number_of_Strikes,Speed_IAS_in_knots
SACRAMENTO INTL,B-737,None,1/21/00 0:00,SOUTHWEST AIRLINES,California,Approach,Medium,Unknown bird - medium,Day,0,0,0,1,
NEWARK LIBERTY INTL ARPT,B-737-200,None,1/21/00 0:00,DELTA AIR LINES,New Jersey,Landing Roll,Small,Unknown bird - small,Day,0,0,0,1,
JOHN F KENNEDY INTL,B-767-300,None,1/23/00 0:00,DELTA AIR LINES,New York,Landing Roll,Medium,Herring gull,Day,0,0,0,1,
DALLAS/FORT WORTH INTL ARPT,MD-80,None,1/23/00 0:00,DELTA AIR LINES,Texas,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,1,
SACRAMENTO INTL,B-737-300,Substantial,1/25/00 0:00,AMERICA WEST AIRLINES,California,Climb,Medium,Unknown bird - medium,Night,13364,66818,80182,1,
DENVER INTL AIRPORT,MD-83,Substantial,1/27/00 0:00,TRANS WORLD AIRLINES,Colorado,Climb,Large,Unknown bird - large,Night,0,0,0,1,180
LOUISVILLE INTL ARPT,B-737,Medium,1/27/00 0:00,SOUTHWEST AIRLINES,Kentucky,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,
MINETA SAN JOSE INTL,B-737-200,None,1/30/00 0:00,AMERICA WEST AIRLINES,California,Approach,Large,Unknown bird - large,Night,0,0,0,1,140
SACRAMENTO INTL,FOKKER F28 MK 4000,Medium,1/31/00 0:00,HORIZON AIR,California,Climb,Medium,Unknown bird - medium,Day,0,0,0,1,175
PORT COLUMBUS INTL,A-320,None,1/31/00 0:00,NORTHWEST AIRLINES,Ohio,Approach,Small,Unknown bird - small,Dusk,0,0,0,1,
DENVER INTL AIRPORT,B-737-300,None,2/1/00 0:00,UNITED AIRLINES,Colorado,Climb,Medium,Unknown bird - medium,Day,0,0,0,1,
SACRAMENTO INTL,B-737-500,Minor,2/2/00 0:00,SOUTHWEST AIRLINES,California,Approach,Medium,Unknown bird - medium,Night,0,1336,1336,1,220
SAN FRANCISCO INTL ARPT,MD-80,None,2/3/00 0:00,AMERICAN AIRLINES,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,
MINETA SAN JOSE INTL,MD-80,None,2/4/00 0:00,AMERICAN AIRLINES,California,Climb,Small,Unknown bird - small,Dawn,0,0,0,1,170
CHARLOTTE/DOUGLAS INTL ARPT,B-737-200,None,2/5/00 0:00,US AIRWAYS*,North Carolina,Landing Roll,Medium,Red-tailed hawk,Dawn,0,0,0,1,110
ORLANDO INTL,B-737-300,None,2/5/00 0:00,SOUTHWEST AIRLINES,Florida,Climb,Medium,Unknown bird - medium,Day,0,0,0,1,250
DALLAS/FORT WORTH INTL ARPT,MD-80,None,2/5/00 0:00,AMERICAN AIRLINES,Texas,Approach,Small,Rock pigeon,Day,0,0,0,1,130
PHOENIX SKY HARBOR,A-319,None,2/5/00 0:00,AMERICA WEST AIRLINES,Arizona,Climb,Small,Unknown bird - small,Day,0,0,0,1,155
PORT COLUMBUS INTL,A-320,None,2/6/00 0:00,AMERICA WEST AIRLINES,Ohio,Approach,Small,Unknown bird - small,Day,0,0,0,1,100
HOUSTON-HOBBY,B-737-200,None,2/8/00 0:00,SOUTHWEST AIRLINES,Texas,Climb,Medium,Unknown bird - medium,Dawn,0,0,0,1,130
DALLAS/FORT WORTH INTL ARPT,SAAB-340,None,2/8/00 0:00,AMERICAN EAGLE AIRLINES,Texas,Climb,Medium,Unknown bird - medium,Night,0,0,0,1,180
HONOLULU INTL ARPT,B-737,None,2/8/00 0:00,ALOHA AIRLINES,Hawaii,Landing Roll,Small,Pacific golden-plover,Day,0,0,0,1,
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,CL-RJ100/200,None,2/9/00 0:00,COMAIR AIRLINES,Kentucky,Climb,Medium,Unknown bird - medium,Night,0,0,0,1,145
MEMPHIS INTL,MD-11,None,2/9/00 0:00,FEDEX EXPRESS,Tennessee,Approach,Small,Unknown bird - small,Day,0,0,0,1,165
NASHVILLE INTL,B-737,None,2/9/00 0:00,SOUTHWEST AIRLINES,Tennessee,Approach,Small,Unknown bird - small,Night,0,0,0,1,140
LIHUE ARPT,B-737-200,Medium,2/10/00 0:00,ALOHA AIRLINES,Hawaii,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,1,110
DALLAS/FORT WORTH INTL ARPT,MD-83,Medium,2/11/00 0:00,AMERICAN AIRLINES,Texas,Climb,Large,Unknown bird - large,Day,0,0,0,1,150
BALTIMORE WASH INTL,A-319,None,2/12/00 0:00,US AIRWAYS*,Maryland,Take-off run,Medium,Unknown bird - medium,Night,0,0,0,1,
NASHVILLE INTL,B-737-300,None,2/12/00 0:00,US AIRWAYS*,Tennessee,Climb,Small,Unknown bird - small,Dawn,0,0,0,1,180
PHOENIX SKY HARBOR,B-737,None,2/12/00 0:00,AMERICA WEST AIRLINES,Arizona,Landing Roll,Small,Rock pigeon,Day,0,0,0,1,
DALLAS/FORT WORTH INTL ARPT,MD-83,None,2/13/00 0:00,AMERICAN AIRLINES,Texas,Climb,Medium,Unknown bird - medium,Dawn,0,0,0,1,150
EPPLEY AIRFIELD,MD-80,None,2/13/00 0:00,AMERICAN AIRLINES,Nebraska,Landing Roll,Small,Unknown bird - small,Day,0,0,0,1,
WILL ROGERS WORLD ARPT,ATR-72,None,2/13/00 0:00,AMERICAN EAGLE AIRLINES,Oklahoma,Approach,Small,Western meadowlark,Dusk,0,0,0,1,120
SACRAMENTO INTL,B-737-300,None,2/14/00 0:00,SOUTHWEST AIRLINES,California,Climb,Large,Unknown bird - large,Night,0,0,0,1,150
PHILADELPHIA INTL,B-737-400,None,2/14/00 0:00,US AIRWAYS*,Pennsylvania,Climb,Small,Unknown bird - small,Day,0,0,0,1,165
WASHINGTON DULLES INTL ARPT,B-737,None,2/15/00 0:00,US AIRWAYS*,DC,Landing Roll,Medium,Red-tailed hawk,Day,0,0,0,1,120
SACRAMENTO INTL,B-737-300,Minor,2/17/00 0:00,ALASKA AIRLINES,California,Approach,Medium,Unknown bird - medium,Day,0,0,0,1,
NASHVILLE INTL,B-737-400,None,2/18/00 0:00,US AIRWAYS*,Tennessee,Climb,Small,European starling,Dusk,0,0,0,1,150
CHICAGO MIDWAY INTL ARPT,B-737-500,Substantial,2/19/00 0:00,SOUTHWEST AIRLINES,Illinois,Climb,Medium,Red-tailed hawk,Day,0,0,0,1,145
WASHINGTON DULLES INTL ARPT,B-737-300,None,2/19/00 0:00,UNITED AIRLINES,DC,Approach,Medium,Ring-billed gull,Day,0,0,0,1,130
WASHINGTON DULLES INTL ARPT,BA-31 JETSTR,None,2/20/00 0:00,ATLANTIC COAST AIRLINES,DC,Approach,Medium,Unknown bird - medium,Dusk,0,0,0,1,160
CHARLOTTE/DOUGLAS INTL ARPT,B-737-400,Medium,2/21/00 0:00,US AIRWAYS*,North Carolina,Climb,Medium,Unknown bird - medium,Day,0,0,0,1,150
PHILADELPHIA INTL,A-320,Substantial,2/22/00 0:00,US AIRWAYS*,Pennsylvania,Climb,Large,Canada goose,Day,26727,3340917,3367644,1,180
PHOENIX SKY HARBOR,B-737-300,None,2/23/00 0:00,AMERICA WEST AIRLINES,Arizona,Approach,Small,Unknown bird - small,Dawn,0,0,0,1,125
BARKSDALE AIR FORCE BASE ARPT,B-52H,None,2/24/00 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,1,153
CHICAGO O'HARE INTL ARPT,B-737-300,None,2/25/00 0:00,UNITED AIRLINES,Illinois,Climb,Medium,Unknown bird - medium,Day,0,0,0,1,250
DALLAS/FORT WORTH INTL ARPT,EMB-135,None,2/25/00 0:00,AMERICAN EAGLE AIRLINES,Texas,Climb,Medium,Unknown bird - medium,Day,0,0,0,1,135
DALLAS/FORT WORTH INTL ARPT,FOKKER F100,None,2/25/00 0:00,AMERICAN AIRLINES,Texas,Landing Roll,Small,Unknown bird - small,Day,0,0,0,1,140
SALT LAKE CITY INTL,B-737-200,None,2/25/00 0:00,AMERICA WEST AIRLINES,Utah,Take-off run,Small,Unknown bird - small,Day,0,0,0,1,
METRO OAKLAND INTL,B-737-300,None,2/26/00 0:00,SOUTHWEST AIRLINES,California,Climb,Medium,Unknown bird - medium,Night,0,0,0,1,250
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,MD-80,None,2/26/00 0:00,DELTA AIR LINES,Kentucky,Climb,Small,American kestrel,Day,0,0,0,1,
JOHN F KENNEDY INTL,B-767-200,None,2/26/00 0:00,AMERICAN AIRLINES,New York,Take-off run,Small,Unknown bird - small,Day,0,0,0,1,145
MEMPHIS INTL,DC-10,None,2/26/00 0:00,FEDEX EXPRESS,Tennessee,Approach,Small,Unknown bird - small,Night,0,0,0,1,170
DALLAS/FORT WORTH INTL ARPT,ATR-72,Minor,2/28/00 0:00,AMERICAN EAGLE AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,1,200
LOS ANGELES INTL,SAAB-340,None,2/28/00 0:00,AMERICAN EAGLE AIRLINES,California,Take-off run,Small,Western meadowlark,Day,0,0,0,1,
WASHINGTON DULLES INTL ARPT,B-737-200,None,2/29/00 0:00,DELTA AIR LINES,DC,Climb,Medium,Ring-billed gull,Day,0,0,0,1,180
LOS ANGELES INTL,B-757-200,None,2/29/00 0:00,AMERICAN AIRLINES,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,150
BARKSDALE AIR FORCE BASE ARPT,B-52H,None,2/29/00 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,1,
DENVER INTL AIRPORT,A-320,None,3/1/00 0:00,NORTHWEST AIRLINES,Colorado,Climb,Small,Unknown bird - small,Day,0,0,0,1,
PORTLAND INTL (OR),B-737-500,Minor,3/2/00 0:00,UNITED AIRLINES,Oregon,Climb,Large,Great blue heron,Day,0,0,0,1,
CHICAGO MIDWAY INTL ARPT,LEARJET-31,Minor,3/5/00 0:00,BUSINESS,Illinois,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,1,
HONOLULU INTL ARPT,DC-10,None,3/5/00 0:00,HAWAIIAN AIR,Hawaii,Climb,Small,Unknown bird - small,Day,0,0,0,1,180
PHOENIX SKY HARBOR,B-737-300,None,3/5/00 0:00,AMERICA WEST AIRLINES,Arizona,Take-off run,Small,European starling,Day,0,0,0,1,150
ATLANTA INTL,DC-9,None,3/5/00 0:00,AIRTRAN AIRWAYS,Georgia,Climb,Small,Unknown bird - small,Night,0,0,0,1,160
NEWARK LIBERTY INTL ARPT,MD-82,None,3/6/00 0:00,CONTINENTAL AIRLINES,New Jersey,Landing Roll,Small,Unknown bird - small,Day,0,0,0,1,
LAMBERT-ST LOUIS INTL,MD-80,Minor,3/6/00 0:00,TRANS WORLD AIRLINES,Missouri,Approach,Small,Unknown bird - small,Night,0,0,0,1,140
NEWARK LIBERTY INTL ARPT,BE-1900,Minor,3/7/00 0:00,COMMUTAIR,New Jersey,Approach,Large,Canada goose,Night,0,0,0,1,170
LOS ANGELES INTL,SAAB-340,None,3/7/00 0:00,AMERICAN EAGLE AIRLINES,California,Approach,Small,Unknown bird - small,Day,0,0,0,1,125
MINNEAPOLIS-ST PAUL INTL,B-757-200,None,3/7/00 0:00,NORTHWEST AIRLINES,Minnesota,Approach,Small,Unknown bird - small,Day,0,0,0,1,130
LIHUE ARPT,B-737-200,None,3/7/00 0:00,ALOHA AIRLINES,Hawaii,Landing Roll,Small,Short-eared owl,Day,0,0,0,1,
PHILADELPHIA INTL,DC-10,None,3/7/00 0:00,FEDEX EXPRESS,Pennsylvania,Approach,Small,Unknown bird - small,Night,0,0,0,1,
RONALD REAGAN WASHINGTON NATL,CITATION II,Medium,3/8/00 0:00,BUSINESS,DC,Climb,Medium,Unknown bird - medium,Day,124282,26727,151009,1,170
SAN FRANCISCO INTL ARPT,MD-80,Minor,3/8/00 0:00,AMERICAN AIRLINES,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,135
WASHINGTON DULLES INTL ARPT,BA-31 JETSTR,None,3/8/00 0:00,ATLANTIC COAST AIRLINES,DC,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,185
NEW ORLEANS INTL,B-727,Minor,3/8/00 0:00,FEDEX EXPRESS,Louisiana,Approach,Small,Unknown bird - small,Night,0,0,0,1,200
FORT LAUDERDALE/HOLLYWOOD INTL,L-1011,None,3/10/00 0:00,DELTA AIR LINES,Florida,Approach,Large,Turkey vulture,Day,0,0,0,1,165
FORT LAUDERDALE/HOLLYWOOD INTL,B-737-300,None,3/11/00 0:00,SOUTHWEST AIRLINES,Florida,Approach,Medium,Unknown bird - medium,Day,0,0,0,1,
INDIANAPOLIS INTL,B-737-300,Substantial,3/11/00 0:00,UNITED AIRLINES,Indiana,Climb,Small,European starling,Day,0,0,0,1,150
EPPLEY AIRFIELD,C-208,Medium,3/12/00 0:00,BUSINESS,Nebraska,Approach,Large,Canada goose,Night,0,93546,93546,1,
DALLAS/FORT WORTH INTL ARPT,EMB-120,None,3/13/00 0:00,ATLANTIC SOUTHEAST,Texas,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,1,
ATLANTA INTL,DC-9-30,None,3/14/00 0:00,AIRTRAN AIRWAYS,Georgia,Approach,Medium,Mallard,Night,0,0,0,1,140
NEWARK LIBERTY INTL ARPT,A-300,None,3/14/00 0:00,AMERICAN AIRLINES,New Jersey,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,250
LAGUARDIA NY,MD-80,None,3/14/00 0:00,US AIRWAYS*,New York,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,250
LAGUARDIA NY,B-727-200,Medium,3/15/00 0:00,DELTA AIR LINES,New York,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,150
DALLAS/FORT WORTH INTL ARPT,FOKKER F100,None,3/15/00 0:00,AMERICAN AIRLINES,Texas,Descent,Medium,Unknown bird - medium,Night,0,0,0,1,210
CHICAGO O'HARE INTL ARPT,B-727-200,None,3/16/00 0:00,UNITED AIRLINES,Illinois,Take-off run,Medium,Red-tailed hawk,Dusk,0,0,0,1,
ORLANDO INTL,SAAB-340,None,3/18/00 0:00,AMERICAN EAGLE AIRLINES,Florida,Take-off run,Medium,Ring-billed gull,Day,0,0,0,1,125
LAMBERT-ST LOUIS INTL,MD-80,None,3/18/00 0:00,TRANS WORLD AIRLINES,Missouri,Landing Roll,Small,Unknown bird - small,Day,0,0,0,1,110
SACRAMENTO INTL,B-737-300,Substantial,3/20/00 0:00,DELTA AIR LINES,California,Climb,Medium,Unknown bird - medium,Day,0,0,0,1,
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,B-727-200,None,3/20/00 0:00,DELTA AIR LINES,Kentucky,Climb,Small,Killdeer,Day,0,0,0,1,155
DALLAS/FORT WORTH INTL ARPT,FOKKER F100,None,3/20/00 0:00,AMERICAN AIRLINES,Texas,Descent,Small,Unknown bird - small,Day,0,0,0,1,250
WASHINGTON DULLES INTL ARPT,BE-1900,None,3/21/00 0:00,COMMUTAIR,DC,Approach,Medium,Ring-billed gull,Day,0,0,0,1,120
DALLAS/FORT WORTH INTL ARPT,B-727-200,None,3/21/00 0:00,AMERICAN AIRLINES,Texas,Approach,Small,European starling,Dusk,0,0,0,1,
WILL ROGERS WORLD ARPT,C-130H,None,3/21/00 0:00,MILITARY,Oklahoma,Approach,Small,Unknown bird - small,Night,0,0,0,1,105
LAMBERT-ST LOUIS INTL,MD-83,Minor,3/22/00 0:00,TRANS WORLD AIRLINES,Missouri,Approach,Medium,Unknown bird - medium,Dusk,0,0,0,1,150
GEORGE BUSH INTERCONTINENTAL,B-727,None,3/22/00 0:00,AMERICAN AIRLINES,Texas,Descent,Medium,Unknown bird - medium,Night,0,0,0,1,230
LOUISVILLE INTL ARPT,B-757-200,None,3/23/00 0:00,UPS AIRLINES,Kentucky,Descent,Medium,Unknown bird - medium,Night,0,0,0,1,250
AUSTIN-BERGSTROM INTL,B-737,None,3/23/00 0:00,AMERICA WEST AIRLINES,Texas,Landing Roll,Medium,Unknown bird - medium,Night,0,0,0,1,
PORT COLUMBUS INTL,B-737-200,None,3/23/00 0:00,DELTA AIR LINES,Ohio,Approach,Small,Unknown bird - small,Night,0,0,0,1,140
DETROIT METRO WAYNE COUNTY ARPT,SAAB-340,None,3/24/00 0:00,MESABA AIRLINES,Michigan,Climb,Small,Unknown bird - small,Night,0,0,0,1,160
NEWARK LIBERTY INTL ARPT,B-757-200,Medium,3/25/00 0:00,CONTINENTAL AIRLINES,New Jersey,Climb,Large,Canada goose,Night,0,126237,126237,1,230
CLEVELAND-HOPKINS INTL ARPT,EMB-145,None,3/25/00 0:00,EXPRESSJET (CONTINENTAL EXPRS),Ohio,Approach,Small,Unknown bird - small,Day,0,0,0,1,135
DALLAS/FORT WORTH INTL ARPT,MD-80,None,3/25/00 0:00,AMERICAN AIRLINES,Texas,Climb,Small,Unknown bird - small,Day,0,0,0,1,160
PORTLAND INTL (OR),HC-130P,None,3/26/00 0:00,MILITARY,Oregon,Approach,Medium,Unknown bird - medium,Day,0,5720,5720,1,130
NASHVILLE INTL,DC-9-30,None,3/26/00 0:00,NORTHWEST AIRLINES,Tennessee,Landing Roll,Medium,Red-tailed hawk,Day,0,0,0,1,
GREATER PITTSBURGH,B-737-400,None,3/26/00 0:00,US AIRWAYS*,Pennsylvania,Climb,Medium,Red-tailed hawk,Dusk,0,0,0,1,150
DETROIT METRO WAYNE COUNTY ARPT,A-310,Substantial,3/28/00 0:00,FEDEX EXPRESS,Michigan,Approach,Medium,Unknown bird - medium,Night,0,668183,668183,1,
CLEVELAND-HOPKINS INTL ARPT,FOKKER F100,Minor,3/29/00 0:00,US AIRWAYS*,Ohio,Approach,Large,Canada goose,Day,0,44100,44100,1,170
ORLANDO INTL,B-737-200,None,3/30/00 0:00,US AIRWAYS*,Florida,Climb,Medium,Unknown bird - medium,Night,0,0,0,1,
DALLAS/FORT WORTH INTL ARPT,SAAB-340,Minor,3/31/00 0:00,AMERICAN EAGLE AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,180
DALLAS/FORT WORTH INTL ARPT,B-757-200,None,3/31/00 0:00,AMERICAN AIRLINES,Texas,Approach,Small,European starling,Day,0,0,0,1,130
WASHINGTON DULLES INTL ARPT,B-737-300,None,4/1/00 0:00,US AIRWAYS*,DC,Approach,Small,Unknown bird - small,Night,0,0,0,1,140
LOS ANGELES INTL,L-1011,None,4/2/00 0:00,DELTA AIR LINES,California,Climb,Medium,Unknown bird - medium,Dawn,0,0,0,1,160
DETROIT METRO WAYNE COUNTY ARPT,SAAB-340,Medium,4/3/00 0:00,MESABA AIRLINES,Michigan,Climb,Large,Unknown bird - large,Dawn,0,100228,100228,1,180
JOHN F KENNEDY INTL,C-141B,None,4/3/00 0:00,MILITARY,New York,Approach,Small,Unknown bird - small,Day,0,6014,6014,1,250
DALLAS/FORT WORTH INTL ARPT,MD-80,None,4/4/00 0:00,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,1,130
LOS ANGELES INTL,B-737-200,Minor,4/5/00 0:00,SOUTHWEST AIRLINES,California,Descent,Medium,Unknown bird - medium,Night,0,0,0,1,210
SALT LAKE CITY INTL,B-757-200,None,4/5/00 0:00,DELTA AIR LINES,Utah,Approach,Small,Unknown bird - small,Night,0,0,0,1,
BARKSDALE AIR FORCE BASE ARPT,B-52H,None,4/6/00 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,1,168
PORTLAND INTL (OR),DC-8,None,4/6/00 0:00,ABX AIR,Oregon,Landing Roll,Medium,Mallard,Night,0,0,0,1,
METRO OAKLAND INTL,B-737-300,None,4/6/00 0:00,SOUTHWEST AIRLINES,California,Take-off run,Small,Unknown bird - small,Day,0,0,0,1,
LOGAN INTL,B-727-200,None,4/7/00 0:00,DELTA AIR LINES,Massachusetts,Approach,Large,Unknown bird - large,Night,0,0,0,1,
SAN ANTONIO INTL,DC-8-61,None,4/7/00 0:00,ABX AIR,Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,
PORTLAND INTL (OR),B-737-400,None,4/7/00 0:00,ALASKA AIRLINES,Oregon,Approach,Small,Barn owl,Dusk,0,0,0,1,135
AUSTIN-BERGSTROM INTL,B-727-200,None,4/7/00 0:00,FEDEX EXPRESS,Texas,Climb,Small,Unknown bird - small,Night,0,0,0,1,230
DETROIT METRO WAYNE COUNTY ARPT,DC-9,Minor,4/8/00 0:00,US AIRWAYS*,Michigan,Climb,Medium,Unknown bird - medium,Day,0,0,0,1,135
CHICAGO O'HARE INTL ARPT,A-320,None,4/8/00 0:00,UNITED AIRLINES,Illinois,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,1,
WASHINGTON DULLES INTL ARPT,CL-RJ100/200,Minor,4/8/00 0:00,ATLANTIC COAST AIRLINES,DC,Approach,Small,Unknown bird - small,Day,0,2673,2673,1,145
TETERBORO AIRPORT,CL-601/604,Medium,4/9/00 0:00,BUSINESS,New Jersey,Take-off run,Medium,Mallard,Day,0,0,0,1,
MEMPHIS INTL,DC-9-50,None,4/9/00 0:00,NORTHWEST AIRLINES,Tennessee,Approach,Medium,Unknown bird - medium,Day,0,0,0,1,150
TETERBORO AIRPORT,IAI ASTRA JT,None,4/9/00 0:00,BUSINESS,New Jersey,Landing Roll,Medium,Ring-billed gull,Day,0,0,0,1,
ATLANTA INTL,DC-9-30,None,4/9/00 0:00,AIRTRAN AIRWAYS,Georgia,Approach,Small,Unknown bird - small,Day,0,0,0,1,127
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,B-757-200,None,4/9/00 0:00,DELTA AIR LINES,Kentucky,Approach,Small,Unknown bird - small,Dusk,0,0,0,1,125
SEATTLE-TACOMA INTL,MD-80,None,4/9/00 0:00,ALASKA AIRLINES,Washington,Approach,Small,Unknown bird - small,Night,0,0,0,1,
SEATTLE-TACOMA INTL,MD-80,None,4/11/00 0:00,ALASKA AIRLINES,Washington,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,200
DALLAS/FORT WORTH INTL ARPT,MD-80,None,4/11/00 0:00,AMERICAN AIRLINES,Texas,Landing Roll,Small,Unknown bird - small,Day,0,0,0,1,140
HOUSTON-HOBBY,MD-80,None,4/12/00 0:00,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,1,
SAN FRANCISCO INTL ARPT,B-737-500,None,4/12/00 0:00,UNITED AIRLINES,California,Approach,Small,Killdeer,Day,0,1336,1336,1,
DALLAS/FORT WORTH INTL ARPT,MD-80,None,4/12/00 0:00,AMERICAN AIRLINES,Texas,Take-off run,Small,Unknown bird - small,Day,0,0,0,1,
MINNEAPOLIS-ST PAUL INTL,B-737-500,None,4/13/00 0:00,CONTINENTAL AIRLINES,Minnesota,Approach,Large,Canada goose,Night,0,0,0,1,140
METRO OAKLAND INTL,BE-400 BJET,None,4/13/00 0:00,BUSINESS,California,Approach,Small,Unknown bird - small,Day,0,0,0,1,115
HOUSTON-HOBBY,MD-82,None,4/14/00 0:00,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,1,140
AUSTIN-BERGSTROM INTL,DC-9,None,4/14/00 0:00,NORTHWEST AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,
LOUISVILLE INTL ARPT,B-727,None,4/14/00 0:00,UNITED AIRLINES,Kentucky,Approach,Small,Unknown bird - small,Night,0,0,0,1,230
LOUISVILLE INTL ARPT,B-757-200,None,4/15/00 0:00,UPS AIRLINES,Kentucky,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,160
LAMBERT-ST LOUIS INTL,B-737-700,None,4/15/00 0:00,SOUTHWEST AIRLINES,Missouri,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,250
DETROIT METRO WAYNE COUNTY ARPT,SAAB-340,None,4/16/00 0:00,MESABA AIRLINES,Michigan,Approach,Medium,Unknown bird - medium,Day,0,0,0,1,130
PORTLAND INTL (OR),FOKKER F28 MK 4000,Substantial,4/16/00 0:00,HORIZON AIR,Oregon,Take-off run,Medium,Mallard,Dusk,2005,66818,68823,1,
CHARLOTTE/DOUGLAS INTL ARPT,B-737-300,None,4/16/00 0:00,US AIRWAYS*,North Carolina,Take-off run,Small,Unknown bird - small,Day,0,0,0,1,120
PHOENIX SKY HARBOR,B-737-500,Minor,4/17/00 0:00,UNITED AIRLINES,Arizona,Approach,Large,Turkey vulture,Day,0,66818,66818,1,
CHICAGO O'HARE INTL ARPT,MD-80,None,4/17/00 0:00,AMERICAN AIRLINES,Illinois,Approach,Medium,Unknown bird - medium,Day,0,0,0,1,135
FORT LAUDERDALE/HOLLYWOOD INTL,B-737-200,None,4/17/00 0:00,US AIRWAYS*,Florida,Descent,Medium,Unknown bird - medium,Night,0,0,0,1,
SAN FRANCISCO INTL ARPT,B-737-500,None,4/18/00 0:00,UNITED AIRLINES,California,Approach,Small,Killdeer,Day,0,0,0,1,170
BARKSDALE AIR FORCE BASE ARPT,B-52H,None,4/20/00 0:00,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,1,95
WASHINGTON DULLES INTL ARPT,A-320,None,4/20/00 0:00,UNITED AIRLINES,DC,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,
ATLANTA INTL,B-727,None,4/20/00 0:00,AMERICAN AIRLINES,Georgia,Climb,Small,Unknown bird - small,Dawn,0,0,0,1,160
CLEVELAND-HOPKINS INTL ARPT,EMB-145,None,4/20/00 0:00,EXPRESSJET (CONTINENTAL EXPRS),Ohio,Landing Roll,Small,Savannah sparrow,Day,0,0,0,1,
ATLANTA INTL,DC-8-63,None,4/20/00 0:00,ABX AIR,Georgia,Approach,Small,Unknown bird - small,Night,0,0,0,1,
FORT LAUDERDALE/HOLLYWOOD INTL,B-757-200,Minor,4/21/00 0:00,AMERICAN AIRLINES,Florida,Climb,Large,Unknown bird - large,Day,0,0,0,1,250
NEWARK LIBERTY INTL ARPT,MD-11,None,4/21/00 0:00,FEDEX EXPRESS,New Jersey,Approach,Large,Unknown bird - large,Night,0,0,0,1,140
HOUSTON-HOBBY,B-737-200,None,4/21/00 0:00,SOUTHWEST AIRLINES,Texas,Descent,Small,Unknown bird - small,Night,0,0,0,1,250
INDIANAPOLIS INTL,A-319,None,4/22/00 0:00,AMERICA WEST AIRLINES,Indiana,Approach,Large,Unknown bird - large,Night,0,0,0,1,136
METRO OAKLAND INTL,B-737-700,None,4/22/00 0:00,SOUTHWEST AIRLINES,California,Approach,Small,Unknown bird - small,Night,0,0,0,1,
METRO OAKLAND INTL,B-737-300,None,4/22/00 0:00,SOUTHWEST AIRLINES,California,Approach,Small,Unknown bird - small,Night,0,0,0,1,140
DALLAS/FORT WORTH INTL ARPT,MD-80,None,4/23/00 0:00,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Dawn,0,0,0,1,132
CHARLESTON AFB/INTL ARPT,C-17A,C,4/24/00 0:00,MILITARY,South Carolina,Climb,Medium,Unknown bird or bat,Day,0,32073,32073,1,
DALLAS/FORT WORTH INTL ARPT,MD-82,None,4/24/00 0:00,AMERICAN AIRLINES,Texas,Climb,Medium,Unknown bird - medium,Night,0,0,0,1,310
WASHINGTON DULLES INTL ARPT,BA-31 JETSTR,None,4/24/00 0:00,ATLANTIC COAST AIRLINES,DC,Descent,Small,Unknown bird - small,Dusk,0,0,0,1,250
